ID,Date,Country,Location,Size,CCL,Remarks
1,1830,Italy,Ancona,Length: 45.7 cm,45.7,
2,1864 Jul,Italy,"Malamocco, Venice",28,28.7,
3,1885 Sep 9,Croatia,Rijeka (Fiume) Bay,Mass: 18 kg,,
4,1980 - 89,Italy,Unknown (south Adriatic),CL: 28 - 31 cm,31,
5,1985 Aug,Italy,Po River Delta,30,30.8,Incidental capture
6,1986 Jul,Italy,Bari,CL: 28 - 31 cm,31,Incidental capture
7,1991 Feb 1,Italy,"Lido S. Anna, Brindisi",31.5,32.3,
8,1996 Jul,Italy,Margherita di Savoia,Mass: 4 kg,,Incidental capture
9,1998 Apr 3,Italy,"Torre a Mare, Bari",31,31.8,"Stranded, cold stunned"
10,2000 Aug 25,Italy,"Porto S. Elpidio, Ascoli Piceno",CCL: 35 cm,35,Dead
11,2001 Dec 14,Croatia,"Trpanj, Pelješac Peninsula",CL: 40 cm,41.1,"Incidental capture (gillnet), dead"
12,2006 Feb 8,Italy,Brindisi,CCL 40 cm,40,Dead
13,2006 Jun 8,Italy,Venice Lagoon,CCL:74 cm,74,"Dead, floating"
14,2008 Feb 21,Italy,"Punta Penne, Brindisi",CCL: 35.2 cm,35.2,"Stranded, cold stunned"
15,2009 Sep 22,Italy,"Ferarra, Lido di Nazioni",CCL: 29.5,29.5,"Stranded alive, died due to injuries"
16,2010 Oct 12,Italy,Porto Garibaldi,CCL: 38.5,38.5,"Incidental capture, trawl"
17,2012 Sep 9,Italy,Venice Lagoon,CCL: 30 cm,30,"Dead, floating"
18,2013 May 10,Montenegro,"Kotor Bay, Bigova",Not available,,"Incidental capture (gillnet), alive"
19,2014 Sep 6,Montenegro,"Kotor bay, Orahovac",Juvenile,,"Incidental capture (gillnet), alive"
20,2015 Jun 2,Italy,Margherita di Savoia,CCL: 31 cm,31,"Stranded, dead"
21,2016 Oct 26,Italy,Trani,CCL: 32 cm,32,"Incidental capture (trawl), alive"
22,2016 Nov 24,Italy,"Molfetta, Giovinazzo",CCL: 30 cm,30,"Incidental capture (trawl), alive"
23,2017 Oct 17,Croatia,Savudrija,CL: about 40 cm,41.1,"Incidental capture (gillnet), dead"
24,2018 Aug 12,Croatia,Gornji Karin,30 - 50 cm,,"Observation, alive"
25,2019 May 15,Albania,Vlora Bay,Not available,,Stranded
26,2019 Oct 28,Croatia,Savudrija,CL: around 25 cm,25.6,"Incidental capture (gillnet), dead"
27,2020 Dec 3,Italy,Bisceglie,CCL: 49 cm,49,"Incidental capture (trawl), alive"
28,2003 May ,Albania,Drini bay,27,27,Incidental catch (stavnike)
29,2003 Aug ,Albania,Drini bay,29,29,Incidental catch (stavnike)
30,2003 Sept ,Albania,Drini bay,67,67,Incidental catch (stavnike)
31,2004 May 5,Albania,Drini bay,33,33,Incidental catch (stavnike)
32,2004 Jul 2,Albania,Drini bay,33,33,Incidental catch (stavnike)
33,2004 Aug 17,Albania,Drini bay,39,39,Incidental catch (stavnike)
34,2005 May 25,Albania,Drini bay,39,39,Incidental catch (stavnike)
35,2005 Jun 6,Albania,Drini bay,38,38,Incidental catch (stavnike)
36,2006 May 9,Albania,Drini bay,32,32,Incidental catch (stavnike)
37,2006 May 29,Albania,Drini bay,30,30,Incidental catch (stavnike)
38,2008 Jun 4,Albania,Drini bay,39,39,Incidental catch (stavnike)
39,2009 Oct 6,Albania,Vlora bay,30,30,Incidental catch (stavnike)
40,2010 Jun 23,Albania,Drini bay,33,33,Incidental catch (stavnike)
41,2010 Jun 23,Albania,Drini bay,67,67,Incidental catch (stavnike)
42,2010 Jul 21,Albania,Drini bay,65.5,65.5,Incidental catch (stavnike)
43,2011 Jul 20,Albania,Drini bay,28,28,Incidental catch (stavnike)
44,2011 Jul 25,Albania,Spille,30,30,Incidental catch (stavnike)
45,2012 May 29,Albania,Drini bay,33.5,33.5,Incidental catch (stavnike)
46,2012 Aug 3,Albania,Drini bay,32,32,Incidental catch (stavnike)
47,2012 Aug 24,Albania,Drini bay,34,34,Incidental catch (stavnike)
48,2013 May 23,Albania,Drini bay,29,29,Incidental catch (stavnike)
49,2013 May 23,Albania,Drini bay,32,32,Incidental catch (stavnike)
50,2013 Jun 17,Albania,Drini bay,67,67,Incidental catch (stavnike)
51,2013 Aug 26,Albania,Drini bay,79.5,79.5,Incidental catch (stavnike)
52,2013 Oct 30,Albania,Drini bay,65.5,65.5,Incidental catch (stavnike)
53,2013 Dec 5,Albania,Vlora bay,31,31,Incidental catch (stavnike)
54,2014 Apr 14,Albania,Vlora bay,32,32,Incidental catch (stavnike)
55,2014 Jul 18,Albania,Drini bay,30,30,Incidental catch (stavnike)
56,2014 Aug 11,Albania,Drini bay,31,31,Incidental catch (stavnike)
57,2014 Sept 20,Albania,Drini bay,63,63,Incidental catch (stavnike)
58,2014 Sept 20,Albania,Drini bay,31,31,Incidental catch (stavnike)
59,2014 Sept 20,Albania,Drini bay,30,30,Incidental catch (stavnike)
60,2014 Oct 2,Albania,Drini bay,76,76,Incidental catch (stavnike)
61,2015 Jun 22,Albania,Drini bay,29,29,Incidental catch (stavnike)
62,2015 Jul 10,Albania,Drini bay,24.5,24.5,Incidental catch (stavnike)
63,2016 May 2,Albania,Drini bay,22.5,22.5,Incidental catch (stavnike)
64,2016 May 20,Albania,Drini bay,27,27,Incidental catch (stavnike)
65,2017 Jun 21,Albania,Vlora bay,35,35,Incidental catch (stavnike)
66,2017 Nov 5,Albania,Drini bay,29.5,29.5,Incidental catch (stavnike)
67,2018 May 11,Albania,Drini bay,33,33,Incidental catch (stavnike)
68,2018 May 31,Albania,Drini bay,61,61,Incidental catch (stavnike)
