N;Location;Y;X;Period
1;Ancona;43.636592;13.546126;Historic (before 1980)
1;Malamocco, Venice;45.365237;12.355341;Historic (before 1980)
1;Rijeka (Fiume) Bay;45.285793;14.40723;Historic (before 1980)
1;Po River Delta;44.958226;12.562154;Near past (1980 - 1999)
2;Savudrija;45.48255;13.272317;Recent (after 2000)
1;Gornji Karin;44.137269;15.627116;Recent (after 2000)
1;Porto S. Elpidio, Ascoli Piceno;43.267;13.783;Recent (after 2000)
1;Trpanj, Peljesac Peninsula;43.016541;17.272529;Recent (after 2000)
2;Kotor;42.358333;18.696667;Recent (after 2000)
1;Margherita di Savoia;41.405776;16.222146;Near past (1980 - 1999)
4;Trani, Bisceglie, Molfetta, Margherita do Savoia;41.298871;16.466779;Recent (after 2000)
2;Torre a Mare, Bari;41.094631;17.015824;Near past (1980 - 1999)
1;Lido S. Anna, Brindisi;40.6;18.05;Near past (1980 - 1999)
2;Brindisi;40.667;17.95;Recent (after 2000)
14;Drini Bay (2003 - 2010) ;41.73;19.257043;Recent (after 2000)
5;Vlora Bay;40.44;19.427043;Recent (after 2000)
1;Spille;41.09377;19.452351;Recent (after 2000)
2;Venice Lagoon;45.253322;12.279734;Recent (after 2000)
2;Ferarra, Lido di Nazioni, Porto Garibaldi;44.662844;12.376132;Recent (after 2000)
7;South Adriatic;40.914624;17.471298;Recent (after 2000)
22;Drini Bay (2011 - 2018);41.42;19.49043;Recent (after 2000)
